GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unidad-1-Test,testtwo.dto.rs,ParkedVehicleRsDTO.ParkedVehicleRsDTOBuilder,39,24,0,0,0,1,6,3,6,3
Unidad-1-Test,testtwo.dto.rs,ParkedVehicleRsDTO,216,84,54,0,0,10,30,16,3,16
Unidad-1-Test,testtwo.dto.rs,ErrorRsDTO,0,15,0,0,0,3,0,3,0,3
Unidad-1-Test,testtwo.converter.rs,ParkedVehicleRsConverter,0,33,0,0,0,9,0,2,0,2
Unidad-1-Test,testtwo.dto.rq,TruckDTO,6,37,3,3,0,7,3,7,0,7
Unidad-1-Test,testtwo.dto.rq,CarDTO,6,37,3,3,0,7,3,7,0,7
Unidad-1-Test,testtwo.dto.rq,VehicleDTO,0,10,0,0,0,4,0,3,0,3
Unidad-1-Test,testtwo.entity,ParkedVehicle,267,93,62,0,0,14,36,17,5,17
Unidad-1-Test,testtwo.entity,ParkedVehicle.ParkedVehicleBuilder,36,36,0,0,0,1,5,5,5,5
Unidad-1-Test,testtwo.repository.impl,CustomParkedVehicleRepositoryImpl,0,139,2,22,0,27,2,17,0,7
Unidad-1-Test,testtwo.converter.rq,VehicleRqConverter,0,17,0,0,0,5,0,2,0,2
Unidad-1-Test,testtwo.service.impl,GarageServiceImpl,0,162,5,19,0,38,5,13,0,6
Unidad-1-Test,testtwo.controller,UnParkingController,0,16,0,0,0,4,0,2,0,2
Unidad-1-Test,testtwo.controller,ExceptionHandlerController,7,20,3,1,0,3,2,2,0,2
Unidad-1-Test,testtwo.controller,ParkingController,0,30,0,0,0,6,0,3,0,3
Unidad-1-Test,testtwo.config,SwaggerConfig,42,0,0,0,9,0,2,0,2,0
Unidad-1-Test,testtwo,VehicleApplication,8,0,0,0,3,0,2,0,2,0
